IDE;aitem1;aitem2;aitem3;aitem4;aitem5;aitem6;aitem7;aitem8;aitem9;aitem10;aitem11;aitem12;aitem13;aitem14;aitem15;aitem16;aitem17;aitem18;aitem19;aitem20;aitem21;aitem22;aitem23;aitem24;aitem25;aitem26;aitem27;aitem28;aitem29;aitem30;aitem31;aitem32;aitem33;aitem34;aitem35;aitem36;aitem37
R066;3;5;4;4;3;5;5;3;3;1;1;2;1;5;2;4;2;2;1;3;1;4;4;1;3;3;2;5;1;4;3;1;1;4;5;3;3
R067;2;2;2;3;1;4;2;5;3;1;2;2;2;3;1;5;2;1;4;2;1;2;4;5;4;4;3;3;2;5;1;2;2;4;5;5;3
R068;4;2;1;2;3;5;3;1;4;3;5;3;2;1;1;2;5;4;5;4;1;5;5;4;1;1;2;2;1;4;2;1;4;5;2;1;2
R069;2;5;3;3;2;3;3;2;1;1;3;5;5;2;5;4;3;5;2;5;2;2;1;5;5;3;3;3;4;4;5;2;5;1;2;3;5
R070;1;5;3;2;1;3;5;4;5;1;3;1;3;5;3;3;3;3;2;2;1;2;3;3;2;3;4;4;4;1;2;2;4;4;4;5;1
R071;1;3;3;3;1;1;2;4;5;2;1;2;5;5;1;4;2;2;1;2;4;3;2;4;4;2;2;2;4;5;5;2;4;2;4;1;4
R072;3;3;4;3;5;4;5;5;2;5;2;2;1;5;4;2;4;2;5;1;2;1;5;3;3;1;5;2;3;1;4;1;1;1;4;3;2
R073;4;5;2;1;2;2;4;5;2;1;1;5;5;5;2;2;5;3;2;5;2;3;1;3;1;2;2;4;4;5;3;1;3;3;5;2;2
R074;4;4;2;4;2;3;4;1;1;3;5;2;1;4;1;5;5;2;3;5;5;5;2;2;2;3;1;3;5;2;5;4;3;2;5;3;4
R075;1;5;1;4;2;4;5;1;1;1;2;1;1;3;4;2;1;2;5;2;3;5;2;5;2;3;4;5;5;1;2;1;2;5;3;3;1
R076;3;5;3;5;3;3;4;1;5;5;3;1;1;4;3;4;2;5;4;5;5;1;3;3;4;2;1;4;1;2;2;3;4;4;2;5;5
R077;5;5;2;1;5;4;1;4;1;4;2;3;1;5;5;3;3;3;2;4;1;3;3;5;4;3;1;5;5;4;1;4;1;5;3;1;5
R078;1;4;4;3;3;2;5;3;2;5;1;5;3;5;2;1;2;2;1;1;3;2;1;1;2;5;3;4;3;5;1;1;2;4;3;3;5
R079;5;5;3;1;4;2;4;1;1;2;3;2;1;3;1;1;4;3;1;5;5;2;4;5;1;2;3;2;3;1;4;1;4;3;3;1;2
R080;3;3;1;5;3;1;1;5;1;2;3;2;4;1;5;4;2;2;1;5;5;3;4;5;4;1;1;5;3;2;4;4;2;1;1;1;5
R081;4;1;5;1;5;2;5;4;4;2;4;3;2;2;1;3;1;4;4;1;3;3;1;2;4;1;2;2;1;4;4;2;4;4;3;4;4
R082;2;2;5;2;4;3;3;3;5;5;1;2;3;1;3;2;5;3;2;2;2;1;4;4;2;3;1;5;2;4;5;2;5;3;4;4;2
R083;2;1;5;1;3;3;4;3;5;4;1;2;3;1;2;2;4;3;1;4;5;2;2;3;2;2;5;4;5;5;5;4;1;1;2;5;1
R084;4;1;4;1;3;1;1;5;4;5;2;2;3;2;2;5;2;3;1;3;3;5;4;5;3;2;5;1;3;3;1;1;4;1;5;2;3
R085;4;2;2;4;1;1;4;5;4;3;4;3;1;3;2;5;3;3;2;3;4;3;2;4;4;1;2;2;5;2;3;3;1;1;1;2;4
R086;4;5;2;3;4;4;1;5;1;5;2;2;3;3;5;4;5;2;2;1;2;1;3;1;2;2;3;3;4;3;2;1;2;2;5;1;3
R087;5;1;5;2;3;3;5;5;5;3;2;1;1;5;1;2;5;5;1;1;1;5;4;1;3;4;2;5;4;5;1;4;1;5;2;4;4
R088;3;1;3;4;1;1;4;5;3;1;5;1;5;4;5;4;3;5;4;3;1;1;3;5;1;5;5;1;2;2;5;4;5;2;3;3;5
R089;5;4;3;1;3;5;1;1;3;3;3;4;4;1;4;3;1;4;1;2;2;4;3;5;4;4;3;4;4;2;1;5;5;5;4;4;2
R090;4;1;1;5;5;5;4;1;1;3;5;2;5;5;2;1;1;5;1;4;5;1;1;1;4;1;3;3;3;4;2;4;5;5;1;3;2
R091;1;2;1;2;3;1;2;2;3;1;2;4;2;4;4;4;5;1;5;2;5;5;1;5;5;1;4;2;1;3;2;2;2;1;3;4;2
R092;3;3;2;3;2;1;3;1;4;1;3;1;2;1;2;4;1;4;4;4;1;1;2;4;2;2;5;3;3;3;3;2;5;2;5;1;4
R093;4;3;5;3;2;5;1;4;2;2;5;1;3;1;3;2;1;5;1;2;1;5;2;1;2;1;5;1;1;1;4;1;2;4;4;4;3
R094;4;4;3;1;4;2;4;1;2;5;1;3;2;1;5;2;1;4;5;3;5;1;4;2;4;5;3;1;2;1;4;5;3;1;4;1;4
R095;1;2;2;4;4;4;1;1;5;2;2;2;4;5;3;5;4;2;1;1;2;4;1;4;5;1;5;2;5;5;4;3;5;2;3;1;4
R096;4;4;4;2;3;1;4;5;2;2;4;5;5;4;4;5;3;1;1;2;4;1;4;2;5;1;4;1;3;5;5;5;3;2;5;5;5
R097;2;5;3;2;4;5;5;3;3;4;2;3;1;2;2;5;3;2;3;2;3;1;1;3;1;4;4;2;1;1;3;1;2;1;3;1;5
R098;2;5;2;4;1;3;4;5;3;3;1;5;1;2;2;3;2;5;4;2;5;2;2;1;1;4;4;5;3;1;3;5;5;4;5;4;5
R099;2;5;5;5;1;4;3;1;4;3;4;1;3;2;3;3;4;1;3;1;4;2;5;1;1;1;1;1;4;5;5;4;5;1;1;2;3
R100;3;1;1;3;3;5;5;1;2;3;5;5;4;1;3;3;4;3;2;3;3;3;2;5;2;5;1;2;3;1;3;2;2;4;5;5;5
R101;4;3;1;3;5;1;4;3;3;5;5;1;4;5;1;2;3;2;1;2;2;2;4;2;3;3;2;4;1;1;4;4;2;1;2;3;2
R102;3;4;5;1;5;1;3;2;2;5;4;2;5;1;1;2;2;2;1;3;5;2;2;4;1;3;5;1;2;4;4;2;3;3;3;2;3
R103;3;5;3;2;1;1;2;2;2;3;4;4;5;1;3;3;2;2;5;1;5;5;5;3;3;2;1;1;5;2;2;1;2;5;5;4;2
R104;2;1;1;5;3;2;3;1;5;5;3;3;2;3;3;3;1;2;1;4;1;1;4;1;2;3;1;1;5;5;5;3;4;4;5;4;1
R105;4;1;5;1;5;5;1;5;2;1;1;4;3;2;2;1;1;3;3;1;1;5;5;1;4;3;3;4;3;2;1;3;3;1;1;2;1
R106;2;2;4;1;5;1;4;2;2;4;3;1;5;2;2;5;5;2;1;5;4;3;1;1;1;5;2;5;4;3;1;4;5;2;5;5;4
R107;2;5;5;3;5;4;2;2;4;1;3;5;4;3;5;4;2;3;3;4;1;3;3;5;4;4;1;3;3;2;2;1;3;2;3;5;3
R108;3;5;5;3;4;2;2;1;4;1;3;2;1;4;5;5;5;5;2;3;3;1;4;5;5;1;4;4;4;1;1;4;3;5;2;4;4
R109;3;3;3;5;4;2;4;3;5;3;5;4;5;4;2;1;1;3;3;3;1;3;5;5;4;2;3;5;2;3;1;2;5;2;1;3;2
R110;1;1;3;5;5;2;2;1;4;5;5;1;5;2;5;5;1;2;3;3;5;1;3;2;1;3;4;4;4;3;5;1;3;2;3;2;3
R111;5;1;3;4;2;5;4;5;5;5;1;1;2;5;4;2;2;1;3;4;4;1;3;4;5;4;5;1;3;2;3;1;3;1;5;5;4
R112;1;1;1;1;4;1;1;2;5;1;3;3;5;1;3;2;3;4;2;4;4;1;2;1;4;2;2;3;4;5;3;5;2;2;2;4;3
R113;1;4;3;5;4;2;4;1;3;3;4;5;1;1;4;2;1;3;4;4;5;4;3;2;1;5;3;5;1;3;2;5;5;1;2;5;1
R114;4;5;5;5;5;3;2;3;3;4;4;1;4;5;4;1;5;2;4;4;1;5;3;3;4;5;1;3;4;4;3;4;1;2;5;5;4
R115;4;4;3;4;4;2;5;5;1;1;4;5;3;4;1;1;5;4;3;4;2;2;4;5;3;1;1;2;2;2;5;2;3;1;5;2;1
R116;5;5;4;2;4;3;2;1;3;5;2;4;3;2;2;1;3;3;1;1;1;2;5;5;5;5;3;5;5;4;5;5;4;4;1;3;4
R117;2;5;4;5;1;4;1;2;1;3;1;2;5;5;3;1;2;1;5;2;3;4;2;2;5;4;4;4;2;4;2;2;2;5;5;3;5
R118;3;1;1;5;3;3;2;1;3;2;4;4;3;2;5;4;3;1;2;4;4;2;2;1;3;4;4;1;1;3;3;3;3;4;3;5;3
R119;5;1;1;4;3;5;2;2;2;1;2;1;3;5;4;2;2;2;2;2;4;1;2;4;2;5;3;2;2;2;1;5;4;2;1;4;2
R120;5;5;5;3;1;2;4;3;3;5;2;1;2;3;2;1;4;4;1;3;3;4;1;1;1;5;3;4;5;3;1;1;4;4;3;3;1
R121;3;2;2;2;4;2;2;4;1;2;1;2;1;1;4;2;4;1;1;1;5;1;1;1;1;4;2;2;5;5;3;2;2;3;3;1;5
R122;1;5;4;1;2;4;4;4;3;3;4;3;1;5;3;4;1;2;4;3;1;2;5;3;5;5;3;1;5;3;2;5;3;4;2;1;4
R123;1;4;2;5;3;5;3;1;4;3;3;2;4;4;3;5;4;2;5;4;5;2;2;5;3;5;4;4;2;3;2;2;5;2;5;2;3
R124;5;3;4;1;5;1;2;3;3;2;2;4;4;4;1;2;3;3;5;3;3;1;2;5;3;2;5;2;1;5;2;5;5;4;3;4;3
R125;4;1;2;1;4;1;4;4;3;4;3;1;2;2;1;2;1;1;2;4;1;5;5;2;1;2;4;5;4;1;4;1;1;1;3;1;1
R126;5;3;4;4;4;4;3;1;3;5;1;1;5;4;5;3;2;3;4;1;2;5;5;2;3;3;4;2;5;4;1;2;4;4;2;4;5
R127;4;2;1;2;4;3;4;4;2;5;2;3;4;2;5;5;3;4;1;2;3;2;1;4;4;5;3;1;5;4;4;3;3;1;1;1;3
R128;4;2;1;1;4;2;5;2;4;3;2;2;4;1;5;2;5;1;3;2;3;1;2;2;2;2;2;1;2;4;3;2;3;4;1;3;3
R129;2;3;1;1;5;2;1;3;4;4;3;5;1;3;2;4;2;5;2;1;5;1;3;1;4;2;5;4;4;3;3;5;1;5;1;1;2
R130;5;4;2;4;3;3;5;4;1;4;2;2;2;1;2;5;3;1;1;1;2;4;1;1;1;3;4;4;3;4;5;4;3;2;3;4;3
R131;1;3;1;5;2;4;4;3;2;3;3;1;5;4;2;4;1;1;5;3;5;1;4;1;3;5;3;4;2;2;2;1;5;1;4;1;3
R132;2;3;1;2;1;1;5;1;2;5;3;4;3;3;2;2;2;2;1;1;3;4;3;2;3;1;4;1;2;4;5;5;4;2;3;4;2
R133;2;2;3;3;1;1;4;4;1;4;4;2;4;2;3;1;1;3;1;4;5;1;3;1;2;2;2;1;4;3;5;4;5;1;3;3;5
R134;4;2;2;4;1;5;3;4;3;1;1;3;4;1;4;2;5;4;1;2;1;4;3;2;5;1;2;3;1;2;4;5;2;4;1;3;3
R135;5;4;4;3;4;3;4;2;5;1;3;4;4;2;5;1;4;3;5;4;4;3;1;4;3;4;5;1;1;3;2;3;1;1;4;2;1
R136;5;2;2;3;2;2;5;4;4;1;3;5;3;2;4;5;5;2;3;5;4;2;3;5;4;1;5;4;1;1;3;2;1;1;2;1;2
R137;5;3;1;5;2;5;5;4;1;5;2;3;3;4;5;2;5;1;5;2;4;4;2;4;2;5;4;5;1;1;1;1;2;1;5;2;5
R138;3;2;3;3;2;2;2;3;4;3;2;2;5;2;5;4;5;5;2;1;2;4;4;1;1;3;3;2;2;2;4;2;2;2;2;3;3
R139;4;3;1;4;5;4;1;1;3;4;3;3;5;3;2;3;5;3;2;2;3;4;5;4;4;3;3;5;5;4;1;3;4;2;3;4;2
R140;5;5;3;3;3;3;4;3;4;4;1;4;5;1;3;3;2;2;5;1;3;2;4;4;2;1;1;2;2;2;1;2;5;2;5;2;4
R141;5;4;2;4;4;1;2;5;2;3;1;1;3;5;3;1;2;3;4;3;2;3;5;4;3;4;1;5;2;1;4;5;5;2;5;1;1
R142;5;4;3;1;2;3;4;2;3;4;3;1;4;3;4;2;4;5;4;2;2;1;1;4;5;1;2;3;1;3;5;1;1;5;2;2;1
R143;2;4;4;2;1;5;3;4;2;5;4;3;4;5;3;4;2;4;2;5;5;4;4;4;4;2;5;1;4;3;2;2;2;3;1;5;1
R144;5;1;4;2;4;4;5;2;1;5;2;1;5;2;1;4;1;2;1;3;3;1;5;3;5;3;5;3;5;2;2;1;5;4;1;3;4
R145;1;5;4;2;3;4;2;5;2;4;4;2;4;1;5;3;3;1;4;5;2;1;3;3;1;2;1;1;2;3;5;1;2;5;2;1;3
R146;2;5;4;5;2;5;1;1;5;4;3;2;5;4;5;1;1;4;2;2;3;4;2;1;3;5;2;4;1;3;2;4;1;1;2;3;5
R147;4;1;1;5;1;2;1;3;3;4;3;5;4;1;3;1;5;3;4;1;3;5;1;2;3;5;1;2;1;4;1;3;1;3;2;1;3
R148;1;4;5;3;1;4;1;5;5;5;1;2;2;3;1;4;1;5;5;3;4;1;2;1;4;3;2;2;5;2;3;3;1;3;2;4;5
R149;1;5;3;4;1;3;5;3;5;2;2;5;2;4;3;4;5;5;2;5;4;1;4;3;4;5;4;1;3;4;5;4;4;2;3;1;1
R150;1;2;5;4;1;1;1;4;1;3;1;5;5;1;2;4;5;4;3;2;5;4;5;2;2;4;2;5;4;5;3;3;4;4;5;5;1
R151;4;1;3;2;5;5;2;5;5;5;3;2;5;2;4;1;2;1;2;2;5;2;1;3;3;5;1;2;3;3;3;3;3;5;5;4;5
R152;4;5;4;5;3;3;5;4;5;5;3;3;5;5;2;2;4;1;5;3;2;3;1;1;4;5;1;1;2;4;3;4;2;2;5;5;3
R153;5;1;5;4;2;1;5;3;4;1;4;1;5;2;3;3;4;2;3;1;2;2;4;4;3;4;3;4;3;5;5;4;5;4;2;5;2
R154;1;1;4;1;4;4;3;3;1;2;3;3;1;3;2;2;4;4;4;3;4;5;4;1;5;1;2;3;5;2;1;1;4;4;2;3;1
R155;5;5;1;2;3;5;5;5;1;5;4;4;5;3;1;4;3;3;1;4;3;4;5;2;5;1;1;1;2;3;3;3;2;4;2;3;5
R156;1;4;2;4;5;1;4;1;2;3;1;1;4;1;1;5;4;2;5;1;4;3;4;3;3;4;1;5;5;1;2;4;3;2;1;5;3
R157;2;3;4;4;5;1;2;3;2;5;3;1;5;4;2;4;1;1;5;4;3;5;4;2;3;4;2;2;1;1;5;4;5;3;2;1;4
R158;4;2;2;1;2;2;3;5;3;5;4;5;5;2;2;3;5;2;1;2;2;5;4;1;5;2;1;1;2;4;3;5;3;1;5;1;3
R159;2;5;4;3;3;5;4;2;1;1;1;1;4;1;3;5;3;1;5;5;2;2;4;5;4;2;3;3;1;2;2;2;4;4;5;1;1
R160;4;5;2;3;1;1;2;3;5;4;5;1;3;2;1;3;1;5;3;1;1;1;1;2;4;3;5;4;5;5;4;1;5;5;3;3;5
R161;2;4;3;5;2;3;5;4;5;4;1;1;2;2;3;1;3;2;5;3;3;4;1;1;1;5;1;3;4;5;1;1;5;2;4;4;3
R162;4;4;2;5;1;1;2;3;4;4;4;3;2;5;3;3;3;5;1;2;4;5;3;3;5;3;5;1;4;1;3;4;4;2;2;2;5
R163;4;5;5;2;1;1;2;3;5;5;4;5;4;3;4;1;5;2;1;4;2;4;1;1;2;1;3;3;1;5;4;2;2;4;3;2;2
R164;5;3;5;3;4;4;5;1;5;1;5;4;4;1;5;3;3;5;1;4;4;1;3;4;3;2;5;1;2;3;2;3;5;2;2;5;4
R165;2;1;3;4;2;4;3;5;1;4;4;3;1;3;2;3;2;4;3;3;4;5;1;2;1;2;2;5;3;2;5;5;4;5;5;2;2
R166;2;2;1;4;3;4;2;2;4;5;4;4;1;5;1;2;4;3;5;4;2;5;2;3;4;3;3;5;4;2;1;4;1;3;3;1;4
R167;5;4;5;4;1;5;5;2;2;4;4;2;3;3;5;5;4;4;5;1;3;4;4;3;4;4;2;1;3;5;1;1;4;3;1;5;1
R168;1;5;2;3;4;4;5;4;2;2;5;3;3;1;4;5;3;4;5;4;5;2;4;1;3;2;4;5;3;4;1;1;3;3;4;2;5
R169;3;5;1;5;1;4;2;5;5;3;4;3;3;4;2;5;2;5;2;1;4;3;5;4;1;2;1;5;5;3;1;1;2;4;3;4;1
R170;3;4;4;5;3;2;2;2;3;5;5;4;4;2;4;3;5;4;3;1;4;1;5;2;2;3;4;1;1;1;5;4;3;5;5;5;4
R171;4;1;3;5;1;4;4;2;4;5;5;1;4;2;1;4;5;2;3;1;3;4;3;2;1;1;5;2;3;4;4;3;1;5;5;2;1
R172;4;1;5;3;5;1;4;3;5;1;4;1;2;5;3;4;4;5;1;1;4;3;5;3;4;5;1;2;5;1;4;1;1;3;4;4;5
R173;3;2;2;4;1;1;1;3;4;3;4;3;4;5;5;2;1;4;5;4;4;1;5;1;2;1;1;3;4;2;2;2;2;4;5;1;4
R174;4;5;3;3;5;4;2;3;5;1;2;4;2;3;5;1;4;4;3;5;4;5;5;4;3;1;2;5;4;3;4;3;5;3;4;2;5
R175;4;5;3;2;4;4;2;5;2;5;3;4;2;4;5;1;1;2;1;5;5;4;2;2;1;4;1;1;1;2;5;3;5;1;3;3;3
R176;3;1;2;2;1;4;5;4;3;3;1;5;3;5;2;3;1;2;2;3;5;5;5;3;1;2;2;1;4;3;2;1;5;5;5;5;1
